user_id,invoice_id,ref_month,total_kwh,total_amount,status
U0001,I000001,2026-03-01,240.039,1320.9,pendente
U0001,I000284,2026-05-01,98.149,546.55,pendente
U0001,I000425,2026-06-01,306.509,1660.9,pendente
U0001,I000567,2026-07-01,121.353,680.0,pendente
U0001,I000707,2026-08-01,304.126,1627.75,pendente
U0002,I000002,2026-03-01,387.58,683.51,pendente
U0002,I000143,2026-04-01,281.951,545.37,pendente
U0002,I000285,2026-05-01,472.769,673.37,revisao
U0002,I000426,2026-06-01,315.229,568.57,pendente
U0002,I000568,2026-07-01,356.065,567.77,revisao
U0002,I000708,2026-08-01,500.845,712.97,revisao
U0003,I000003,2026-03-01,395.089,731.9,pendente
U0003,I000144,2026-04-01,357.13,658.2,pendente
U0003,I000286,2026-05-01,126.153,287.5,pendente
U0003,I000427,2026-06-01,203.807,411.8,pendente
U0003,I000569,2026-07-01,169.708,354.6,pendente
U0003,I000709,2026-08-01,205.75,401.35,pendente
U0004,I000004,2026-03-01,249.366,1384.65,pendente
U0004,I000145,2026-04-01,290.833,1559.75,pendente
U0004,I000287,2026-05-01,221.912,1220.6,pendente
U0004,I000570,2026-07-01,237.381,1241.85,pendente
U0004,I000710,2026-08-01,205.3,1036.15,revisao
U0005,I000005,2026-03-01,185.055,748.85,revisao
U0005,I000146,2026-04-01,134.443,719.95,pendente
U0005,I000288,2026-05-01,63.744,351.9,pendente
U0005,I000428,2026-06-01,208.796,1151.75,pendente
U0005,I000571,2026-07-01,148.788,819.4,pendente
U0006,I000006,2026-03-01,211.796,1040.4,revisao
U0006,I000147,2026-04-01,213.821,1206.15,pendente
U0006,I000289,2026-05-01,160.563,915.45,pendente
U0006,I000429,2026-06-01,232.791,1252.9,pendente
U0006,I000572,2026-07-01,119.767,646.85,pendente
U0006,I000711,2026-08-01,101.446,532.95,pendente
U0007,I000007,2026-03-01,163.995,411.4,pendente
U0007,I000148,2026-04-01,132.417,361.25,pendente
U0007,I000290,2026-05-01,111.307,327.25,pendente
U0007,I000430,2026-06-01,153.705,268.6,revisao
U0007,I000573,2026-07-01,164.083,379.95,revisao
U0007,I000712,2026-08-01,314.689,908.65,pendente
U0008,I000008,2026-03-01,493.814,869.95,revisao
U0008,I000149,2026-04-01,325.28,605.95,pendente
U0008,I000291,2026-05-01,298.148,577.9,pendente
U0008,I000431,2026-06-01,560.163,855.1,revisao
U0008,I000574,2026-07-01,724.573,1167.5,revisao
U0008,I000713,2026-08-01,284.413,548.75,pendente
U0009,I000009,2026-03-01,176.026,986.85,pendente
U0009,I000150,2026-04-01,206.866,1129.65,pendente
U0009,I000292,2026-05-01,333.559,1755.25,pendente
U0009,I000432,2026-06-01,221.991,1176.4,pendente
U0009,I000575,2026-07-01,320.97,1747.6,pendente
U0009,I000714,2026-08-01,192.11,1028.5,pendente
U0010,I000010,2026-03-01,350.24,685.15,pendente
U0010,I000151,2026-04-01,218.862,445.35,pendente
U0010,I000293,2026-05-01,100.382,222.05,pendente
U0010,I000433,2026-06-01,373.211,704.95,pendente
U0010,I000576,2026-07-01,487.188,874.35,pendente
U0010,I000715,2026-08-01,170.799,346.9,pendente
U0011,I000011,2026-03-01,285.179,793.9,pendente
U0011,I000152,2026-04-01,136.552,382.5,pendente
U0011,I000294,2026-05-01,379.73,1049.75,pendente
U0011,I000434,2026-06-01,418.349,1174.7,pendente
U0011,I000577,2026-07-01,376.728,1008.1,pendente
U0011,I000716,2026-08-01,213.588,584.8,pendente
U0012,I000012,2026-03-01,0.0,192.31,pendente
U0012,I000153,2026-04-01,76.479,274.97,pendente
U0012,I000295,2026-05-01,113.571,320.97,pendente
