user_id,session_id,session_date,ref_month,duration_min,kwh_delivered,status,anomaly_flag
U0001,S000011,2026-03-04,2026-03-01,302,43.675,concluida,False
U0001,S000010,2026-03-07,2026-03-01,96,15.8,concluida,False
U0001,S000009,2026-03-08,2026-03-01,36,5.902,concluida,False
U0001,S000001,2026-03-09,2026-03-01,152,23.412,concluida,False
U0001,S000007,2026-03-10,2026-03-01,246,39.071,concluida,False
U0001,S000002,2026-03-11,2026-03-01,158,24.589,concluida,False
U0001,S000006,2026-03-15,2026-03-01,80,11.051,concluida,False
U0001,S000005,2026-03-16,2026-03-01,243,40.168,concluida,False
U0001,S000004,2026-03-18,2026-03-01,36,5.632,concluida,False
U0001,S000008,2026-03-24,2026-03-01,19,2.843,concluida,False
U0001,S000003,2026-03-26,2026-03-01,186,27.896,concluida,False
U0001,S000012,2026-05-02,2026-05-01,135,21.302,concluida,False
U0001,S000013,2026-05-04,2026-05-01,100,13.795,concluida,False
U0001,S000014,2026-05-06,2026-05-01,138,20.253,concluida,False
U0001,S000015,2026-05-13,2026-05-01,97,13.601,concluida,False
U0001,S000017,2026-05-20,2026-05-01,105,17.482,concluida,False
U0001,S000016,2026-05-26,2026-05-01,68,11.716,concluida,False
U0001,S000025,2026-06-03,2026-06-01,109,15.651,concluida,False
U0001,S000024,2026-06-04,2026-06-01,71,10.348,concluida,False
U0001,S000033,2026-06-10,2026-06-01,235,40.457,concluida,False
U0001,S000018,2026-06-10,2026-06-01,159,25.294,concluida,False
U0001,S000032,2026-06-11,2026-06-01,17,2.403,concluida,False
U0001,S000021,2026-06-14,2026-06-01,58,9.441,concluida,False
U0001,S000026,2026-06-15,2026-06-01,80,12.375,concluida,False
U0001,S000030,2026-06-16,2026-06-01,144,23.24,concluida,False
U0001,S000027,2026-06-17,2026-06-01,151,23.496,concluida,False
U0001,S000019,2026-06-20,2026-06-01,203,28.651,concluida,False
U0001,S000031,2026-06-21,2026-06-01,136,21.152,concluida,False
U0001,S000020,2026-06-22,2026-06-01,128,18.337,concluida,False
U0001,S000022,2026-06-23,2026-06-01,60,9.797,concluida,False
U0001,S000028,2026-06-24,2026-06-01,59,9.473,interrompida,False
U0001,S000029,2026-06-25,2026-06-01,168,28.16,concluida,False
U0001,S000023,2026-06-26,2026-06-01,176,28.234,concluida,False
U0001,S000038,2026-07-01,2026-07-01,18,2.877,concluida,False
U0001,S000034,2026-07-09,2026-07-01,70,9.923,concluida,False
U0001,S000041,2026-07-17,2026-07-01,90,13.277,concluida,False
U0001,S000037,2026-07-18,2026-07-01,68,11.663,concluida,False
U0001,S000039,2026-07-18,2026-07-01,214,30.156,concluida,False
U0001,S000036,2026-07-20,2026-07-01,176,27.417,concluida,False
U0001,S000035,2026-07-22,2026-07-01,105,16.526,concluida,False
U0001,S000040,2026-07-31,2026-07-01,59,9.514,concluida,False
U0001,S000051,2026-08-03,2026-08-01,114,18.942,concluida,False
U0001,S000050,2026-08-04,2026-08-01,30,5.258,interrompida,False
U0001,S000049,2026-08-05,2026-08-01,160,27.663,concluida,False
U0001,S000047,2026-08-08,2026-08-01,118,19.581,concluida,False
U0001,S000043,2026-08-09,2026-08-01,52,8.656,concluida,False
U0001,S000048,2026-08-13,2026-08-01,87,14.49,concluida,False
U0001,S000042,2026-08-13,2026-08-01,32,5.482,concluida,False
U0001,S000046,2026-08-15,2026-08-01,293,43.744,concluida,False
U0001,S000056,2026-08-15,2026-08-01,69,11.243,concluida,False
U0001,S000054,2026-08-20,2026-08-01,242,35.358,concluida,False
U0001,S000052,2026-08-21,2026-08-01,246,41.508,concluida,False
U0001,S000055,2026-08-24,2026-08-01,178,27.307,concluida,False
U0001,S000044,2026-08-27,2026-08-01,97,14.343,concluida,False
U0001,S000045,2026-08-28,2026-08-01,161,24.774,concluida,False
U0001,S000053,2026-08-31,2026-08-01,36,5.777,concluida,False
U0002,S000064,2026-03-01,2026-03-01,178,57.542,concluida,False
U0002,S000061,2026-03-03,2026-03-01,85,29.267,concluida,False
U0002,S000063,2026-03-04,2026-03-01,187,56.655,concluida,False
U0002,S000058,2026-03-06,2026-03-01,93,26.114,concluida,False
U0002,S000060,2026-03-09,2026-03-01,44,12.13,concluida,False
U0002,S000057,2026-03-12,2026-03-01,88,26.979,concluida,False
U0002,S000059,2026-03-16,2026-03-01,96,30.505,concluida,False
U0002,S000066,2026-03-20,2026-03-01,135,40.613,concluida,False
