user_id,kwh_mes_atual,duracao_media_min,n_sessoes_mes,tendencia_kwh,power_kw,plan_type,kwh_proximo_mes,valor_fatura_proximo_mes
U0001,98.149,107.16666666666667,6,-141.89,11.0,pay_per_use,306.509,1660.9
U0001,306.509,122.125,16,208.36,11.0,pay_per_use,121.353,680.0
U0001,121.353,100.0,8,-185.156,11.0,pay_per_use,304.126,1627.75
U0002,387.58,111.63636363636364,11,0.0,22.0,pacote_condominial,281.951,545.37
U0002,281.951,76.41666666666667,12,-105.62899999999996,22.0,pacote_condominial,472.769,673.37
U0002,472.769,95.15384615384616,13,190.81799999999998,22.0,pacote_condominial,315.229,568.57
U0002,315.229,88.63636363636364,11,-157.54000000000002,22.0,pacote_condominial,356.065,567.77
U0002,356.065,81.08333333333333,12,40.83600000000001,22.0,pacote_condominial,500.845,712.97
U0003,395.089,155.0,8,0.0,22.0,assinatura,357.13,658.2
U0003,357.13,85.07692307692308,13,-37.959,22.0,assinatura,126.153,287.5
U0003,126.153,86.4,5,-230.97699999999998,22.0,assinatura,203.807,411.8
U0003,203.807,109.66666666666667,6,77.65399999999998,22.0,assinatura,169.708,354.6
U0003,169.708,92.33333333333333,6,-34.09899999999999,22.0,assinatura,205.75,401.35
U0004,249.366,135.75,12,0.0,11.0,pay_per_use,290.833,1559.75
U0004,290.833,91.75,20,41.46700000000001,11.0,pay_per_use,221.912,1220.6
U0004,237.381,112.38461538461539,13,15.468999999999994,11.0,pay_per_use,205.3,1036.15
U0005,185.055,110.125,8,0.0,11.0,pay_per_use,134.443,719.95
U0005,134.443,169.4,5,-50.611999999999995,11.0,pay_per_use,63.744,351.9
U0005,63.744,103.5,4,-70.69900000000001,11.0,pay_per_use,208.796,1151.75
U0005,208.796,123.18181818181819,11,145.052,11.0,pay_per_use,148.788,819.4
U0006,211.796,102.0,12,0.0,11.0,pay_per_use,213.821,1206.15
U0006,213.821,78.83333333333333,18,2.0250000000000057,11.0,pay_per_use,160.563,915.45
U0006,160.563,82.84615384615384,13,-53.25800000000001,11.0,pay_per_use,232.791,1252.9
U0006,232.791,86.70588235294117,17,72.22800000000001,11.0,pay_per_use,119.767,646.85
U0006,119.767,126.83333333333333,6,-113.024,11.0,pay_per_use,101.446,532.95
U0007,163.995,96.8,5,0.0,22.0,pay_per_use,132.417,361.25
U0007,132.417,106.25,4,-31.578000000000003,22.0,pay_per_use,111.307,327.25
U0007,111.307,96.25,4,-21.11,22.0,pay_per_use,153.705,268.6
U0007,153.705,79.0,4,42.39800000000001,22.0,pay_per_use,164.083,379.95
U0007,164.083,49.666666666666664,9,10.377999999999986,22.0,pay_per_use,314.689,908.65
U0008,493.814,135.54545454545453,11,0.0,22.0,assinatura,325.28,605.95
U0008,325.28,112.33333333333333,9,-168.53400000000005,22.0,assinatura,298.148,577.9
U0008,298.148,106.66666666666667,9,-27.131999999999948,22.0,assinatura,560.163,855.1
U0008,560.163,146.4,10,262.015,22.0,assinatura,724.573,1167.5
U0008,724.573,112.88888888888889,18,164.40999999999997,22.0,assinatura,284.413,548.75
U0009,176.026,96.75,12,0.0,11.0,pay_per_use,206.866,1129.65
U0009,206.866,110.75,12,30.840000000000003,11.0,pay_per_use,333.559,1755.25
U0009,333.559,121.47058823529412,17,126.69300000000001,11.0,pay_per_use,221.991,1176.4
U0009,221.991,98.85714285714286,14,-111.56800000000001,11.0,pay_per_use,320.97,1747.6
U0009,320.97,120.94117647058823,17,98.97900000000001,11.0,pay_per_use,192.11,1028.5
U0010,350.24,115.5,10,0.0,22.0,assinatura,218.862,445.35
U0010,218.862,119.83333333333333,6,-131.37800000000001,22.0,assinatura,100.382,222.05
U0010,100.382,104.33333333333333,3,-118.47999999999999,22.0,assinatura,373.211,704.95
U0010,373.211,99.25,12,272.829,22.0,assinatura,487.188,874.35
U0010,487.188,115.3076923076923,13,113.97699999999998,22.0,assinatura,170.799,346.9
U0011,285.179,93.4,10,0.0,22.0,pay_per_use,136.552,382.5
U0011,136.552,112.5,4,-148.62699999999998,22.0,pay_per_use,379.73,1049.75
U0011,379.73,102.91666666666667,12,243.17800000000003,22.0,pay_per_use,418.349,1174.7
U0011,418.349,92.13333333333334,15,38.61899999999997,22.0,pay_per_use,376.728,1008.1
U0011,376.728,107.81818181818181,11,-41.62099999999998,22.0,pay_per_use,213.588,584.8
U0012,76.479,120.5,2,0.0,22.0,pacote_condominial,113.571,320.97
U0012,113.571,118.66666666666667,3,37.092,22.0,pacote_condominial,159.361,376.17
U0012,159.361,164.66666666666666,3,45.78999999999999,22.0,pacote_condominial,97.196,301.37
U0012,97.196,76.75,4,-62.16499999999999,22.0,pacote_condominial,31.257,218.57
U0013,144.356,104.61538461538461,13,0.0,7.4,assinatura,124.0,704.4
U0013,124.0,119.0,10,-20.355999999999995,7.4,assinatura,166.612,926.6
U0013,166.612,132.83333333333334,12,42.611999999999995,7.4,assinatura,137.348,803.4
U0013,137.348,114.16666666666667,12,-29.26399999999998,7.4,assinatura,155.1,863.9
U0013,155.1,98.66666666666667,15,17.75199999999998,7.4,assinatura,141.767,656.55
U0014,613.698,96.23529411764706,17,0.0,22.0,pay_per_use,282.878,777.75
U0014,282.878,101.66666666666667,9,-330.82,22.0,pay_per_use,227.407,614.55
U0014,227.407,103.28571428571429,7,-55.470999999999975,22.0,pay_per_use,274.754,768.4
U0014,274.754,82.18181818181819,11,47.34700000000001,22.0,pay_per_use,442.214,1145.8
U0014,442.214,122.54545454545455,11,167.45999999999998,22.0,pay_per_use,465.765,1253.75
U0015,424.302,111.0,12,0.0,22.0,pay_per_use,219.481,623.05
U0015,219.481,104.71428571428571,7,-204.82100000000003,22.0,pay_per_use,710.013,1332.8
U0015,710.013,142.54545454545453,11,490.53200000000004,22.0,pay_per_use,503.875,1343.85
U0015,503.875,143.72727272727272,11,-206.13800000000003,22.0,pay_per_use,246.152,532.1
