geo_id,city,state,ibge_municipio_id,population_estimate,ev_fleet_bev_count,ev_fleet_phev_count,chargepoints_count,frota_total,cobertura_por_1000_evs,frota_norm,populacao_norm,cobertura_norm,expansion_score,expansion_score_0_100
G3500105,Adamantina,SP,3500105,35673,15,18,124,33,3757.575757575758,0.0008788750399488655,0.0029184236698348094,0.9090832935666279,-0.1802977392294121,1.9346410053610406
G3500204,Adolfo,SP,3500204,4505,1,2,124,3,761.8113971285813,7.989773090444231e-05,0.00030015047846405614,0.18424087793944513,-0.03669615630414163,16.940756373041985
G3500303,Aguaí,SP,3500303,32886,6,4,124,10,761.8113971285813,0.00026632576968147435,0.002684301256322544,0.18424087793944513,-0.03566792477748742,17.04820477715665
G3500402,Águas da Prata,SP,3500402,7463,0,1,124,1,761.8113971285813,2.6632576968147438e-05,0.0005486377763360623,0.18424087793944513,-0.03661806744656734,16.94891652268532
G3500501,Águas de Lindóia,SP,3500501,18257,10,10,124,20,761.8113971285813,0.0005326515393629487,0.00145538959960531,0.18424087793944513,-0.03605295913230172,17.007969357524324
G3500550,Águas de Santa Bárbara,SP,3500550,7460,3,4,124,7,761.8113971285813,0.00018642803877703208,0.0005483857608209791,0.18424087793944513,-0.03655425006804982,16.955585327617612
G3500600,Águas de São Pedro,SP,3500600,2928,5,7,124,12,761.8113971285813,0.00031959092361776926,0.00016767432270200285,0.18424087793944513,-0.036653269489361116,16.945237970509357
G3500709,Agudos,SP,3500709,38988,28,18,124,46,2695.6521739130435,0.001225098540534782,0.0031969008140017127,0.6521447753853582,-0.12866015533525704,7.33067860772673
G3500758,Alambari,SP,3500758,6373,0,3,124,3,761.8113971285813,7.989773090444231e-05,0.00045707213918917705,0.18424087793944513,-0.03663338763985158,16.94731558916359
G3500808,Alfredo Marcondes,SP,3500808,4574,1,2,124,3,761.8113971285813,7.989773090444231e-05,0.0003059468353109691,0.18424087793944513,-0.036693837761402864,16.940998656720993
G3500907,Altair,SP,3500907,3467,0,0,124,0,761.8113971285813,0.0,0.00021295311024527915,0.18424087793944513,-0.03676299434379091,16.933771914281188
G3501004,Altinópolis,SP,3501004,17197,2,2,124,4,761.8113971285813,0.00010653030787258975,0.0013663441176092563,0.18424087793944513,-0.036259025817696286,16.986435747716726
G3501103,Alto Alegre,SP,3501103,3874,1,1,124,2,761.8113971285813,5.3265153936294876e-05,0.00024714321512489594,0.18424087793944513,-0.03672801224026455,16.937427483186678
G3501152,Alumínio,SP,3501152,17607,9,6,124,15,761.8113971285813,0.0003994886545222116,0.0014007862380039564,0.18424087793944513,-0.03612806563087856,17.000120859203154
G3501202,Álvares Florence,SP,3501202,3979,0,0,124,0,761.8113971285813,0.0,0.0002559637581528069,0.18424087793944513,-0.0367457900846279,16.935569729406595
G3501301,Álvares Machado,SP,3501301,28386,27,28,124,55,2254.5454545454545,0.0014647917332481092,0.002306277983697788,0.5454164678331385,-0.10757486567984934,9.534054661698745
G3501400,Álvaro de Carvalho,SP,3501400,4901,0,1,124,1,761.8113971285813,2.6632576968147438e-05,0.0003334165264550347,0.18424087793944513,-0.036704155946519754,16.939920424342944
G3501509,Alvinlândia,SP,3501509,2919,1,1,124,2,761.8113971285813,5.3265153936294876e-05,0.00016691827615675334,0.18424087793944513,-0.036760102215851805,16.93407413661487
G3501608,Americana,SP,3501608,247571,470,689,124,1159,106.98878343399481,0.03086715670608288,0.020718951541532703,0.025802780676401498,0.015473887163765934,22.392435073713074
G3501707,Américo Brasiliense,SP,3501707,33708,9,6,124,15,761.8113971285813,0.0003994886545222116,0.0027533535074553326,0.18424087793944513,-0.035587038723098006,17.05665722899651
G3501806,Américo de Campos,SP,3501806,5981,1,1,124,2,761.8113971285813,5.3265153936294876e-05,0.000424142111884976,0.18424087793944513,-0.03665721268156052,16.944825913790652
G3501905,Amparo,SP,3501905,69792,29,24,124,53,2339.622641509434,0.0014115265793118142,0.005784596122875709,0.5660013824972983,-0.11032182741858465,9.247001943181576
G3502002,Analândia,SP,3502002,4694,0,1,124,1,761.8113971285813,2.6632576968147438e-05,0.0003160274559142959,0.18424087793944513,-0.03671111157473605,16.939193573305914
G3502101,Andradina,SP,3502101,61625,16,24,124,40,3100.0,0.0010653030787258974,0.005098525885647624,0.7499790573082262,-0.14753027987589584,5.35878345106476
G3502200,Angatuba,SP,3502200,24573,3,9,124,12,761.8113971285813,0.00031959092361776926,0.0019859662640270784,0.18424087793944513,-0.03592595271283109,17.021241307207525
G3502309,Anhembi,SP,3502309,5766,0,0,124,0,761.8113971285813,0.0,0.0004060809999706822,0.18424087793944513,-0.03668574318790075,16.94184452555719
G3502408,Anhumas,SP,3502408,4118,0,0,124,0,761.8113971285813,0.0,0.00026764047701832716,0.18424087793944513,-0.0367411193970817,16.936057808122282
G3502507,Aparecida,SP,3502507,33141,7,14,124,21,761.8113971285813,0.0005592841163310962,0.0027057225751046135,0.18424087793944513,-0.03554217291131474,17.06134562820472
G3502606,Aparecida d'Oeste,SP,3502606,4112,0,0,124,0,761.8113971285813,0.0,0.0002671364459881608,0.18424087793944513,-0.03674132100949376,16.93603673997628
G3502705,Apiaí,SP,3502705,24857,8,1,124,9,761.8113971285813,0.00023969319271332693,0.0020098237327882853,0.18424087793944513,-0.035948368817688384,17.018898863282256
G3502754,Araçariguama,SP,3502754,22314,11,16,124,27,761.8113971285813,0.0007190795781399808,0.001796198581169451,0.18424087793944513,-0.03584206432416525,17.030007497751427
G3502804,Araçatuba,SP,3502804,208415,233,260,124,493,251.5212981744422,0.013129860445296687,0.01742964503866716,0.06077325382319442,6.915142894665417e-05,20.782667013108668
G3502903,Araçoiaba da Serra,SP,3502903,33832,68,44,124,112,1107.142857142857,0.0029828486204325133,0.002763770148745437,0.2677958106883766,-0.05126051463000414,15.418806288356135
G3503000,Aramina,SP,3503000,5535,0,0,124,0,761.8113971285813,0.0,0.00038667580530927804,0.18424087793944513,-0.036693505265765314,16.941033401936156
G3503109,Arandu,SP,3503109,7076,0,1,124,1,761.8113971285813,2.6632576968147438e-05,0.0005161277748903332,0.18424087793944513,-0.036631071447145634,16.947557627268264
G3503158,Arapeí,SP,3503158,2355,0,1,124,1,761.8113971285813,2.6632576968147438e-05,0.00011953935932111725,0.18424087793944513,-0.03678970681337332,16.930980507723238
